rank,country,region,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
1,United States,North America,341963408,150463900,124816644,4445524,1328000,799500,0,13043,1790,889,918,2647,647,605,5843,1002,4640,391963,671,1212,641,440,4168037,11,9,70,81,0,26,0,8,8.95E+11,2.23035E+13,2.4662E+13,7.73426E+11,15873,170549000,666,3533,293564,6586610,20879000,20245000,38212000000,1.029E+12,9.14301E+11,1.3402E+13,548849000,476044000,2.48941E+11,9833517,19924,12002,41009
2,Russia,Asia,140820810,69002197,46189226,1267387,1320000,2000000,250000,4292,833,689,456,611,141,19,1651,557,5750,131527,5168,8505,3005,419,1260447,1,0,63,10,12,83,123,47,1.26E+11,3.17651E+11,5.816E+12,5.97217E+11,904,72408000,67,2910,85494,1283387,10727000,3684000,80000000000,6.1783E+11,4.72239E+11,4.7805E+13,508190000,310958000,1.62166E+11,17098242,37653,22407,102000
3,China,Asia,1415043270,764123366,626864169,19810606,2035000,510000,625000,3309,1212,371,289,402,112,10,913,281,6800,144017,3490,1000,2750,754,2857143,3,4,61,50,47,72,150,36,2.6685E+11,1.21846E+12,3.1227E+13,3.45E+12,531,779246000,66,8314,150000,5200000,4984000,15148000,26023000000,2.25341E+11,3.6616E+11,6.654E+12,4827000000,5313000000,1.43197E+11,9596960,14500,22457,27700
4,India,Asia,1409128296,662290299,522786598,23955181,1455550,1155000,2527000,2229,513,130,270,351,74,6,899,80,4201,148594,100,3975,264,293,593603,2,0,18,13,14,18,135,0,75000000000,3.71021E+11,1.3104E+13,6.27793E+11,311,593729000,56,1859,65554,6371847,795000,5049000,4605000000,33170000000,58867000000,1.381E+12,985671000,1200000000,1.11052E+11,3287263,7000,13888,14500
5,South Korea,Asia,52081799,26040900,21353538,416654,600000,3100000,120000,1592,315,98,41,318,36,4,807,111,2236,58880,3270,4400,426,227,344786,0,2,22,13,17,5,35,14,46300000000,5.0352E+11,2.615E+12,4.2093E+11,89,29611000,15,2149,3979,100428,38000,2452000,0,55127000,59480000000,7079000000,15595000,136413000,326000000,99720,2413,237,1600
6,United Kingdom,Europe,68459055,31491165,25192932,753050,184860,924000,0,631,113,31,29,203,28,9,266,37,227,38200,71,126,29,109,394043,2,0,9,6,8,0,26,7,71500540000,9.59375E+12,3.7E+12,1.77915E+11,1043,35275000,185,868,16390,394428,753000,1397000,2500000000,37758000000,70141000000,1.80661E+11,1891000,8568000,26000000,243610,12429,443,3200
7,France,Europe,68374591,30084820,23794358,752121,200000,26000,150000,976,226,0,119,141,44,16,448,68,215,110932,96,0,9,129,428765,1,3,9,11,11,0,20,17,55000000000,6.9921E+12,3.764E+12,2.40792E+11,689,31825000,66,553,27860,1053215,80000,1554000,61719000,20132000,37001000000,7787000000,2419000,12985000,160000000,643801,4853,4072,8501
8,Japan,Asia,123201945,52976836,42874277,1108818,247150,56000,25000,1443,217,38,55,401,141,10,596,119,521,31964,149,480,54,159,769882,0,4,24,42,6,0,6,22,57000000000,4.6797E+12,5.761E+12,1.295E+12,279,69349000,163,5229,27311,1218772,8000,3289000,44115000,2220000000,92843000000,20898000000,29141000,216332000,350000000,377915,29751,0,1770
9,Turkiye,Asia,84119531,42985080,36087279,1430032,355200,378700,150000,1083,201,0,84,287,28,7,508,111,2238,61173,1038,1707,296,182,325729,0,1,13,0,17,9,41,11,47000000000,2.94441E+11,2.936E+12,1.40858E+11,115,35071000,54,1170,11497,67333,83000,1077000,366000000,379701000,2887000000,3794000000,88746000,123976000,11525000000,783562,7200,2816,1200
10,Italy,Europe,60964931,27434219,22191235,548684,165500,18500,105000,729,89,67,30,162,23,8,392,37,200,73480,64,108,21,196,359417,2,0,8,3,10,0,19,10,30890000000,2.75E+12,3.097E+12,2.47396E+11,636,25669000,123,1276,18475,487700,116000,1246000,497934000,3117000000,68735000000,45750000000,1618000,13127000,609999000,301340,7600,1836,2400
